Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2010-01-04,2,MinVar,-0.2461,-0.2464,-0.0371
2010-02-01,1,ERC,1.9987,2.3019,0.1102
2010-03-01,2,MinVar,-0.5615,-0.5612,-0.0583
2010-04-01,2,MinVar,-1.4495,-0.8316,0.3173
2010-05-03,2,MinVar,-0.566,-0.0954,0.8308
2010-06-01,1,ERC,1.1902,3.3102,1.1312
2010-07-01,1,ERC,4.4562,7.026,4.2056
2010-08-02,1,ERC,3.6883,5.046,2.2914
2010-09-01,0,1/N,3.5572,3.4151,0.2684
2010-10-01,0,1/N,3.701,3.0199,1.0992
2010-11-01,0,1/N,2.794,2.5876,-0.1441
2010-12-01,0,1/N,5.9249,5.7062,0.9593
2011-01-04,1,ERC,2.7394,3.2493,0.531
2011-02-01,1,ERC,3.7261,3.9932,0.5124
2011-03-01,1,ERC,1.0181,2.3767,0.7015
2011-04-01,1,ERC,-0.427,1.2173,1.0352
2011-05-02,2,MinVar,-0.8373,0.2181,0.7649
2011-06-01,2,MinVar,-0.2431,-0.3357,0.1303
2011-07-01,2,MinVar,-2.0456,-1.5086,0.0943
2011-08-01,2,MinVar,-0.4028,-0.0376,1.2112
2011-09-01,2,MinVar,-0.1007,0.1461,0.4433
2011-10-03,1,ERC,2.0202,2.5421,0.1021
2011-11-01,1,ERC,1.2802,1.4992,1.3451
2011-12-01,1,ERC,2.996,4.6605,1.1025
2012-01-03,1,ERC,3.0024,4.8356,-0.0413
2012-02-01,1,ERC,1.0679,2.4396,0.8205
2012-03-01,2,MinVar,-3.0867,-2.4867,0.1043
2012-04-02,2,MinVar,-1.431,0.3697,0.7546
2012-05-01,1,ERC,-0.0272,0.9734,0.4762
2012-06-01,1,ERC,3.4137,4.2086,1.0757
2012-07-02,1,ERC,2.732,2.935,1.1458
2012-08-01,1,ERC,0.9307,0.9917,0.1807
2012-09-04,2,MinVar,0.0689,0.6811,1.0286
2012-10-01,2,MinVar,-1.0485,-0.4651,0.4133
2012-11-01,1,ERC,1.5032,2.314,-0.2817
2012-12-03,1,ERC,1.5668,2.5049,0.5271
2013-01-02,1,ERC,2.3291,5.0651,-0.264
2013-02-01,1,ERC,0.2127,2.9129,0.281
2013-03-01,1,ERC,0.3192,1.8337,-0.7527
2013-04-01,1,ERC,-0.8892,-0.1963,-0.8643
2013-05-01,0,1/N,0.3746,-0.3082,-0.275
2013-06-03,0,1/N,-0.1386,-0.3883,-0.1773
2013-07-01,1,ERC,1.3628,1.9135,0.5365
2013-08-01,1,ERC,1.0504,1.4157,-0.4401
2013-09-03,1,ERC,1.4891,2.4265,-0.2296
2013-10-01,1,ERC,1.8205,2.5013,0.4189
2013-11-01,1,ERC,-0.4039,1.2659,-0.07
2013-12-02,1,ERC,2.321,2.6905,0.3283
2014-01-02,1,ERC,2.4397,7.6836,1.2896
2014-02-03,1,ERC,4.6432,5.7916,0.9785
2014-03-03,1,ERC,1.0954,2.3791,0.2015
2014-04-01,1,ERC,2.0846,3.8485,-0.1581
2014-05-01,1,ERC,-0.4791,0.0442,-0.5135
2014-06-02,1,ERC,0.1052,1.9718,0.1335
2014-07-01,2,MinVar,-3.617,-3.5006,-0.2246
2014-08-01,1,ERC,-0.2755,0.5847,0.5037
2014-09-02,1,ERC,-1.3387,-0.5265,-0.5966
2014-10-01,2,MinVar,-0.4834,0.1501,0.5894
2014-11-03,2,MinVar,-1.7402,-0.888,0.4825
2014-12-01,1,ERC,-0.4196,0.2861,-0.0887
2015-01-02,2,MinVar,-0.3621,-0.4985,0.5901
2015-02-02,0,1/N,0.9752,0.696,0.1595
2015-03-02,0,1/N,0.1347,-0.0751,-0.4325
2015-04-01,2,MinVar,0.3488,0.6251,0.6543
2015-05-01,2,MinVar,-2.3254,-1.9305,-0.2917
2015-06-01,2,MinVar,-2.4342,-2.5776,-1.1341
2015-07-01,2,MinVar,-2.1763,-2.1763,0.2889
2015-08-03,1,ERC,0.4816,0.5603,-0.364
2015-09-01,0,1/N,1.4894,1.1285,0.4268
2015-10-01,2,MinVar,0.22,-0.67,0.3663
2015-11-02,2,MinVar,-2.6592,-3.0572,-0.1128
2015-12-01,2,MinVar,-1.4,-1.2994,-0.3211
2016-01-04,1,ERC,1.5318,2.2962,0.9985
2016-02-01,1,ERC,4.3675,4.4288,1.7287
2016-03-01,0,1/N,4.1209,4.0961,0.9527
2016-04-01,0,1/N,3.1513,2.3172,1.1968
2016-05-02,1,ERC,1.4268,1.6737,1.6338
2016-06-01,1,ERC,0.9722,1.4338,0.7581
2016-07-01,1,ERC,0.3517,2.1593,0.7214
2016-08-01,0,1/N,0.1069,-0.1324,-0.1875
2016-09-01,0,1/N,0.4728,-0.6495,-0.4065
2016-10-03,0,1/N,0.7362,0.7362,-0.3316
2016-11-01,1,ERC,3.1178,3.2506,-0.009
2016-12-01,1,ERC,4.6205,4.9553,0.9185
2017-01-03,1,ERC,1.1427,2.7907,0.4141
2017-02-01,1,ERC,0.0496,4.2803,0.3875
2017-03-01,1,ERC,-1.5885,0.4776,-0.0884
2017-04-03,1,ERC,-0.7659,1.604,0.0106
2017-05-01,1,ERC,1.2519,2.6555,1.0922
2017-06-01,1,ERC,0.5814,2.9549,1.0408
2017-07-03,1,ERC,2.5228,3.5423,0.5997
