Start Date,Strategy Code,Strategy Name,Sharpe 1/N,Sharpe ERC,Sharpe MinVar
2010-11-01,0,1/N,2.936,1.9807,-0.3359
2010-12-01,1,ERC,5.0781,5.8103,0.6887
2011-01-03,1,ERC,1.8303,2.9941,0.5213
2011-02-01,1,ERC,2.1491,3.008,0.8947
2011-03-01,1,ERC,1.5053,2.2682,0.8105
2011-04-01,1,ERC,0.0566,1.9302,-0.0122
2011-05-02,2,MinVar,-1.2026,-1.2135,0.905
2011-06-01,2,MinVar,-0.7623,-0.9136,0.4649
2011-07-01,2,MinVar,-2.006,-2.0397,0.2207
2011-08-01,2,MinVar,-0.1488,-0.0549,1.2996
2011-09-01,2,MinVar,0.4064,0.4552,0.9952
2011-10-03,1,ERC,2.4378,3.0311,0.836
2011-11-01,1,ERC,1.7277,1.9352,1.4277
2011-12-01,1,ERC,3.3362,5.1738,1.1945
2012-01-03,1,ERC,3.9264,5.4159,0.3261
2012-02-01,1,ERC,1.621,2.757,1.002
2012-03-01,2,MinVar,-1.5319,-1.5026,-0.5894
2012-04-02,2,MinVar,-0.6937,0.0647,0.9716
2012-05-01,2,MinVar,-0.0897,0.8721,1.4205
2012-06-01,1,ERC,3.1283,4.4101,1.0444
2012-07-02,1,ERC,2.0856,2.9067,1.0958
2012-08-01,1,ERC,1.0887,1.4096,-0.0987
2012-09-04,2,MinVar,0.4374,0.7395,0.9427
2012-10-01,1,ERC,-0.1243,0.436,0.2184
2012-11-01,1,ERC,2.0043,3.0063,-0.4202
2012-12-03,1,ERC,2.9208,3.6177,0.5962
2013-01-02,1,ERC,3.5128,7.0395,0.8989
2013-02-01,1,ERC,2.2255,4.1472,0.5032
2013-03-01,1,ERC,1.9914,2.9795,-0.8516
2013-04-01,0,1/N,0.0825,-1.0064,-0.719
2013-05-01,0,1/N,1.0435,0.1387,-0.2607
2013-06-03,0,1/N,-0.4219,-0.6822,-1.0775
2013-07-01,1,ERC,1.7625,2.1711,0.7964
2013-08-01,1,ERC,1.15,1.9183,0.0413
2013-09-03,1,ERC,3.3241,4.4822,0.548
2013-10-01,1,ERC,2.9471,4.2967,0.2808
2013-11-01,1,ERC,0.554,2.2807,0.1755
2013-12-02,1,ERC,2.2144,4.7184,0.8975
2014-01-02,1,ERC,1.9441,3.0543,2.2529
2014-02-03,1,ERC,4.3504,6.3172,0.9451
2014-03-03,1,ERC,2.3674,4.9232,1.6727
2014-04-01,1,ERC,2.7423,6.755,3.0815
2014-05-01,0,1/N,0.6976,0.552,0.0008
2014-06-02,0,1/N,1.7078,1.5418,0.7779
2014-07-01,2,MinVar,-0.8665,-1.4387,-0.3924
2014-08-01,0,1/N,1.488,1.1583,1.1757
2014-09-02,0,1/N,0.7287,0.3621,-1.2212
2014-10-01,0,1/N,1.4591,0.2319,0.7173
2014-11-03,2,MinVar,-0.2611,-1.0323,0.754
2014-12-01,0,1/N,0.5376,0.3301,-0.1001
2015-01-02,2,MinVar,-0.012,0.2775,0.5348
2015-02-02,1,ERC,0.5749,1.1001,0.0215
2015-03-02,1,ERC,-0.3422,-0.0467,-0.1327
2015-04-01,1,ERC,-0.6902,0.6389,-0.3584
2015-05-01,2,MinVar,-1.1145,-0.9643,-0.0014
2015-06-01,2,MinVar,-1.9687,-2.3671,-1.1044
2015-07-01,2,MinVar,-1.6272,-2.6105,0.2087
2015-08-03,0,1/N,-0.0586,-0.521,-0.353
2015-09-01,0,1/N,1.9742,1.1567,0.3261
2015-10-01,0,1/N,1.2049,-0.1622,0.2163
2015-11-02,2,MinVar,-2.1576,-3.7889,-0.1509
2015-12-01,2,MinVar,-1.6422,-1.887,-0.0462
2016-01-04,2,MinVar,1.0895,0.9291,1.2211
2016-02-01,1,ERC,3.0722,3.3164,1.7685
2016-03-01,1,ERC,3.4347,4.0186,0.7291
2016-04-01,1,ERC,1.6196,2.2025,1.2836
2016-05-02,2,MinVar,1.735,1.998,2.004
2016-06-01,1,ERC,1.3244,1.9153,1.4404
2016-07-01,1,ERC,0.5686,1.3331,0.7497
2016-08-01,2,MinVar,-0.8646,-0.3557,-0.1832
2016-09-01,0,1/N,0.1802,-0.6597,-0.5024
2016-10-03,0,1/N,1.478,1.478,-0.3977
2016-11-01,1,ERC,3.6087,4.9028,-0.0746
2016-12-01,1,ERC,5.1056,5.607,0.8743
2017-01-03,1,ERC,2.4807,3.4793,0.7183
2017-02-01,1,ERC,2.3765,3.5906,1.1386
2017-03-01,1,ERC,0.1153,0.7056,-0.8272
2017-04-03,1,ERC,1.3604,2.3079,0.0307
2017-05-01,1,ERC,2.1206,3.0775,0.8906
2017-06-01,1,ERC,0.9466,3.1553,1.0359
2017-07-03,1,ERC,2.2286,2.522,0.9075
2017-08-01,0,1/N,2.4923,2.4464,0.2534
2017-09-01,0,1/N,5.5439,5.4225,0.89
2017-10-02,0,1/N,4.5228,4.3197,0.8921
2017-11-01,0,1/N,4.5929,4.5385,0.0619
2017-12-01,0,1/N,-0.1653,-1.1,-0.8977
2018-01-02,1,ERC,-0.8513,-0.2417,-0.8268
2018-02-01,0,1/N,-1.2013,-1.2013,-1.4666
2018-03-01,2,MinVar,0.6355,0.5942,0.7202
2018-04-02,0,1/N,2.0744,1.2329,0.809
2018-05-01,0,1/N,2.6833,2.2946,1.153
2018-06-01,1,ERC,2.7563,4.9949,0.5003
2018-07-02,1,ERC,2.8431,3.1252,0.8956
2018-08-01,2,MinVar,-1.4375,-1.6014,0.1448
2018-09-04,2,MinVar,-1.197,-1.9331,-0.2486
2018-10-01,2,MinVar,-2.8813,-3.4292,-0.7209
2018-11-01,2,MinVar,-0.0049,0.3411,1.9643
2018-12-03,2,MinVar,0.1879,0.746,3.0345
2019-01-02,1,ERC,4.9502,5.9718,2.8529
2019-02-01,1,ERC,4.21,5.4696,2.0675
