Date,Daily ROR,Index Value
05/23/2018,-0.2258%,801.34
05/22/2018,0.3065%,803.15
05/21/2018,-0.1775%,800.7
05/18/2018,-0.0054%,802.12
05/17/2018,0.1328%,802.17
05/16/2018,0.075%,801.1
05/15/2018,-0.2703%,800.5
05/14/2018,0.1695%,802.67
05/11/2018,-0.1284%,801.31
05/10/2018,0.1281%,802.34
05/09/2018,0.1229%,801.32
05/08/2018,0.122%,800.33
05/07/2018,0.1122%,799.36
05/04/2018,-0.0777%,798.46
05/03/2018,0.0201%,799.08
05/02/2018,0.0526%,798.92
05/01/2018,-0.143%,798.5
04/30/2018,-0.0042%,799.65
04/27/2018,-0.0068%,799.68
04/26/2018,-0.1395%,799.73
04/25/2018,0.1648%,800.85
04/24/2018,-0.1097%,799.53
04/23/2018,-0.14%,800.41
04/20/2018,0.056%,801.53
04/19/2018,-0.0367%,801.08
04/18/2018,0.2063%,801.38
04/17/2018,0.0118%,799.73
04/16/2018,-0.0413%,799.63
04/13/2018,0.154%,799.97
04/12/2018,0.2193%,798.73
04/11/2018,0.1043%,796.99
04/10/2018,-0.2219%,796.16
04/09/2018,0.0852%,797.93
04/06/2018,-0.0533%,797.25
04/05/2018,0.1966%,797.67
04/04/2018,-0.055%,796.11
04/03/2018,-0.0387%,796.54
04/02/2018,-0.0143%,796.85
03/29/2018,0.0493%,796.97
03/28/2018,-0.3311%,796.57
03/27/2018,0.5397%,799.22
03/26/2018,-0.4868%,794.93
03/23/2018,0.0621%,798.82
03/22/2018,0.1828%,798.32
03/21/2018,-0.0249%,796.87
03/20/2018,-0.1645%,797.06
03/19/2018,0.0792%,798.38
03/16/2018,-0.1871%,797.75
03/15/2018,0.1563%,799.24
03/14/2018,-0.0613%,797.99
03/13/2018,0.2424%,798.48
03/12/2018,0.1684%,796.55
03/09/2018,0.0548%,795.21
03/08/2018,0.0521%,794.78
03/07/2018,-0.1592%,794.36
03/06/2018,-0.0556%,795.63
03/05/2018,0.4452%,796.07
03/02/2018,-0.381%,792.54
03/01/2018,-0.5201%,795.58
02/28/2018,0.0348%,799.74
02/27/2018,0.4536%,799.46
02/26/2018,0.2125%,795.85
02/23/2018,-0.2095%,794.16
02/22/2018,-0.0042%,795.83
02/21/2018,0.0426%,795.86
02/20/2018,0.215%,795.52
02/16/2018,0.1374%,793.82
02/15/2018,0.2514%,792.73
02/14/2018,-0.1176%,790.74
02/13/2018,0.2267%,791.67
02/12/2018,0.4655%,789.88
02/09/2018,-0.5477%,786.22
02/08/2018,-0.1254%,790.55
02/07/2018,0.1164%,791.54
02/06/2018,-0.6055%,790.62
02/05/2018,-0.1894%,795.44
02/02/2018,0.0579%,796.95
02/01/2018,0.0206%,796.49
01/31/2018,-0.1213%,796.32
01/30/2018,-0.2417%,797.29
01/29/2018,0.2776%,799.22
01/26/2018,0.0021%,797.01
01/25/2018,-0.1527%,796.99
01/24/2018,0.2404%,798.21
01/23/2018,0.0802%,796.3
01/22/2018,-0.1219%,795.66
01/19/2018,-0.1704%,796.63
01/18/2018,0.1898%,797.99
01/17/2018,-0.3008%,796.48
01/16/2018,0.2059%,798.88
01/12/2018,0.5818%,797.24
01/11/2018,-0.494%,792.63
01/10/2018,0.1921%,796.56
01/09/2018,-0.034%,795.03
01/08/2018,0.1174%,795.3
01/05/2018,-0.0667%,794.37
01/04/2018,0.1518%,794.9
01/03/2018,0.2622%,793.7
01/02/2018,-0.5778%,791.62
12/29/2017,0.4198%,796.22
12/28/2017,-0.0684%,792.89
12/27/2017,-0.0929%,793.44
12/26/2017,-0.1201%,794.18
12/22/2017,0.2937%,795.13
12/21/2017,-0.1419%,792.8
12/20/2017,-0.0838%,793.93
12/19/2017,0.204%,794.59
12/18/2017,-0.0235%,792.98
12/15/2017,-0.3627%,793.16
12/14/2017,0.4822%,796.05
12/13/2017,-0.0813%,792.23
12/12/2017,-0.0103%,792.87
12/11/2017,0.0045%,792.96
12/08/2017,0.0926%,792.92
12/07/2017,-0.0722%,792.19
12/06/2017,-0.0768%,792.76
12/05/2017,-0.0181%,793.37
12/04/2017,0.1757%,793.51
12/01/2017,0.1663%,792.12
11/30/2017,-0.1539%,790.81
11/29/2017,0.2996%,792.02
11/28/2017,-0.3223%,789.66
11/27/2017,0.0339%,792.21
11/24/2017,0.094%,791.94
11/22/2017,0.0104%,791.2
11/21/2017,-0.0134%,791.12
11/20/2017,0.0066%,791.22
11/17/2017,0.0211%,791.17
11/16/2017,-0.2414%,791
11/15/2017,0.2894%,792.92
11/14/2017,-0.0313%,790.63
11/13/2017,-0.0202%,790.88
11/10/2017,0.0424%,791.04
11/09/2017,-0.0142%,790.7
11/08/2017,-0.2156%,790.81
11/07/2017,0.3608%,792.52
11/06/2017,0.2486%,789.67
11/03/2017,-0.1135%,787.71
11/02/2017,-0.0611%,788.61
11/01/2017,-0.0194%,789.09
10/31/2017,0.1532%,789.24
10/30/2017,0.0586%,788.04
10/27/2017,-0.1427%,787.58
10/26/2017,-0.0262%,788.7
10/25/2017,0.0576%,788.91
10/24/2017,0.16%,788.45
10/23/2017,-0.2289%,787.19
10/20/2017,0.0843%,789
10/19/2017,-0.0722%,788.34
10/18/2017,0.1665%,788.91
10/17/2017,0.0781%,787.59
10/16/2017,-0.0651%,786.98
10/13/2017,0.1306%,787.49
10/12/2017,0.0141%,786.47
10/11/2017,-0.128%,786.35
10/10/2017,-0.0161%,787.36
10/09/2017,0.194%,787.49
10/06/2017,0.0087%,785.96
10/05/2017,0.1856%,785.9
10/04/2017,-0.0731%,784.44
10/03/2017,0.1956%,785.01
10/02/2017,-0.1568%,783.48
09/29/2017,-0.0247%,784.71
09/28/2017,0.2453%,784.91
09/27/2017,-0.4039%,782.98
09/26/2017,0.2304%,786.16
09/25/2017,0.0581%,784.35
09/22/2017,0.0094%,783.9
09/21/2017,0.1357%,783.82
09/20/2017,-0.1079%,782.76
09/19/2017,0.1525%,783.61
09/18/2017,0.0287%,782.41
09/15/2017,0.1391%,782.19
09/14/2017,-0.0875%,781.1
09/13/2017,-0.0067%,781.79
09/12/2017,0.0828%,781.84
09/11/2017,-0.1573%,781.19
09/08/2017,0.1598%,782.42
09/07/2017,-0.1521%,781.18
09/06/2017,0.0541%,782.37
09/05/2017,-0.0476%,781.94
09/01/2017,0.2931%,782.31
08/31/2017,-0.0166%,780.03
08/30/2017,0.1083%,780.16
08/29/2017,-0.0764%,779.31
08/28/2017,-0.1267%,779.91
08/25/2017,0.2953%,780.9
08/24/2017,-0.2575%,778.6
08/23/2017,0.1931%,780.61
08/22/2017,-0.1496%,779.11
08/21/2017,-0.1472%,780.27
08/18/2017,-0.1662%,781.42
08/17/2017,0.3073%,782.72
08/16/2017,-0.2308%,780.33
08/15/2017,0.4058%,782.13
08/14/2017,-0.0007%,778.97
08/11/2017,-0.5354%,778.98
08/10/2017,0.0202%,783.17
08/09/2017,-0.1675%,783.01
08/08/2017,0.3303%,784.33
08/07/2017,0.0042%,781.74
08/04/2017,-0.0986%,781.71
08/03/2017,-0.0317%,782.48
08/02/2017,0.1519%,782.73
08/01/2017,-0.0052%,781.54
07/31/2017,0.1422%,781.58
07/28/2017,-0.4579%,780.47
07/27/2017,0.2749%,784.06
07/26/2017,0.0825%,781.91
07/25/2017,0.4022%,781.27
07/24/2017,-0.4253%,778.14
07/21/2017,0.1329%,781.46
07/20/2017,0.3706%,780.43
07/19/2017,-0.2504%,777.55
07/18/2017,-0.0448%,779.5
07/17/2017,0.3518%,779.85
07/14/2017,0.0296%,777.11
07/13/2017,0.2216%,776.88
07/12/2017,0.0005%,775.16
07/11/2017,-0.1689%,775.16
07/10/2017,0.2812%,776.47
07/07/2017,-0.5571%,774.29
07/06/2017,0.4016%,778.63
07/05/2017,0.1779%,775.52
07/03/2017,-0.1%,774.14
06/30/2017,-0.0443%,774.92
06/29/2017,0.6071%,775.26
06/28/2017,-0.8363%,770.58
06/27/2017,0.3886%,777.08
06/26/2017,0.1933%,774.07
06/23/2017,0.3439%,772.58
06/22/2017,-0.1106%,769.93
06/21/2017,-0.4112%,770.78
06/20/2017,0.5545%,773.97
06/19/2017,-0.1279%,769.7
06/16/2017,-0.126%,770.68
06/15/2017,-0.1051%,771.65
06/14/2017,0.5245%,772.47
06/13/2017,-0.1754%,768.44
06/12/2017,-0.1888%,769.79
06/09/2017,0.6339%,771.24
06/08/2017,-0.4682%,766.39
06/07/2017,0.097%,769.99
06/06/2017,-0.1254%,769.24
06/05/2017,0.3291%,770.21
06/02/2017,0.3768%,767.68
06/01/2017,-0.2608%,764.8
05/31/2017,-0.4308%,766.8
05/30/2017,0.2882%,770.12
05/26/2017,-0.1758%,767.91
05/25/2017,0.2628%,769.26
05/24/2017,-0.0434%,767.24
05/23/2017,0.0788%,767.58
05/22/2017,-0.1482%,766.97
05/19/2017,0.1224%,768.11
05/18/2017,-0.0977%,767.17
05/17/2017,0.3586%,767.92
05/16/2017,-0.3201%,765.18
05/15/2017,0.3336%,767.63
05/12/2017,-0.0362%,765.08
05/11/2017,0.28%,765.36
05/10/2017,-0.0357%,763.22
05/09/2017,-0.1792%,763.49
05/08/2017,0.0726%,764.87
05/05/2017,-0.1273%,764.31
05/04/2017,-0.0326%,765.28
05/03/2017,0.0398%,765.53
05/02/2017,0.0792%,765.23
05/01/2017,-0.3052%,764.62
04/28/2017,0.4683%,766.97
04/27/2017,-0.3135%,763.39
04/26/2017,0.2056%,765.79
04/25/2017,-0.0824%,764.22
04/24/2017,0.1306%,764.85
04/21/2017,0.1337%,763.85
04/20/2017,0.0012%,762.83
04/19/2017,0.106%,762.82
04/18/2017,0.0613%,762.02
04/17/2017,-0.1327%,761.55
04/13/2017,-0.1511%,762.56
04/12/2017,0.3946%,763.72
04/11/2017,-0.0878%,760.71
04/10/2017,-0.057%,761.38
04/07/2017,0.33%,761.82
04/06/2017,-0.8459%,759.31
04/05/2017,0.7354%,765.79
04/04/2017,-0.261%,760.2
04/03/2017,0.1385%,762.19
03/31/2017,0.2516%,761.13
03/30/2017,0.1123%,759.22
